open,high,low,close,volume
100,101,99,100.5,1000
100.5,102,100,101.5,1100
101.5,103,101,102.5,1200
102.5,104,102,103.5,1300
103.5,105,103,104.5,1400
104.5,106,104,105.5,1500
105.5,107,105,106.5,1600
106.5,108,106,107.5,1700
107.5,109,107,108.5,1800
108.5,110,108,109.5,1900
109.5,111,109,110.5,2000
110.5,112,110,111.5,2100
111.5,113,111,112.5,2200
112.5,114,112,113.5,2300
113.5,115,113,114.5,2400
114.5,116,114,115.5,2500
115.5,117,115,116.5,2600
116.5,118,116,117.5,2700
117.5,119,117,118.5,2800
118.5,120,118,119.5,2900
119.5,121,119,120.5,3000
120.5,122,120,121.5,3100
121.5,123,121,122.5,3200
122.5,124,122,123.5,3300
123.5,125,123,124.5,3400
124.5,126,124,125.5,3500
125.5,127,125,126.5,3600
126.5,128,126,127.5,3700
127.5,129,127,128.5,3800
128.5,130,128,129.5,3900
129.5,131,129,130.5,4000
130.5,132,130,131.5,4100
131.5,133,131,132.5,4200
132.5,134,132,133.5,4300
133.5,135,133,134.5,4400
134.5,136,134,135.5,4500
135.5,137,135,136.5,4600
136.5,138,136,137.5,4700
137.5,139,137,138.5,4800
138.5,140,138,139.5,4900
139.5,141,139,140.5,5000
140.5,142,140,141.5,5100
141.5,143,141,142.5,5200
142.5,144,142,143.5,5300
143.5,145,143,144.5,5400
144.5,146,144,145.5,5500
145.5,147,145,146.5,5600
146.5,148,146,147.5,5700
147.5,149,147,148.5,5800
148.5,150,148,149.5,5900
149.5,151,149,150.5,6000
150.5,152,150,151.5,6100
151.5,153,151,152.5,6200
152.5,154,152,153.5,6300
153.5,155,153,154.5,6400
154.5,156,154,155.5,6500
155.5,157,155,156.5,6600
156.5,158,156,157.5,6700
157.5,159,157,158.5,6800
158.5,160,158,159.5,6900
159.5,161,159,160.5,7000
